username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dfrtraffic;2018-11-26 17:58;0;0;"Motor Vehicle Accident | SUNNYVALE ST / E OVERTON RD | https:// goo.gl/HCsHII | EN23 | 380044 | 17:58 | C";;;;"1067205868104507392";https://twitter.com/dfrtraffic/status/1067205868104507392
TotalTrafficDFW;2018-11-26 17:56;0;0;"Accident , left lane blocked in #GrandPrairie on 360 NB at Brown Blvd, stop and go traffic back to 30, delay of 4 mins #DFWTraffic";;;#GrandPrairie #DFWTraffic;"1067205399055601665";https://twitter.com/TotalTrafficDFW/status/1067205399055601665
dpdcentral;2018-11-26 17:56;0;0;"Central Division responding to '07 - Minor Accident ' at 2200 blk Ross Ave | Beat 132 | https:// goo.gl/1FaFwA | 17:18";;;;"1067205384543195136";https://twitter.com/dpdcentral/status/1067205384543195136
TotalTrafficDFW;2018-11-26 17:48;0;0;"Accident . far left and right lanes blocked in #Dallas on 635 LBJ Fwy WB at Midway Rd, stop and go traffic back to Dallas N Tollway";;;#Dallas;"1067203583354052608";https://twitter.com/TotalTrafficDFW/status/1067203583354052608
TotalTrafficDFW;2018-11-26 17:48;0;0;"Accident , right lane blocked in #Dallas on 635 LBJ Fwy WB at Midway Rd, stop and go traffic back to Dallas N Tollway, delay of 3 mins";;;#Dallas;"1067203430534586369";https://twitter.com/TotalTrafficDFW/status/1067203430534586369
dfrtraffic;2018-11-26 17:48;0;0;"Motor Vehicle Accident | FOREST LN / HILLCREST RD | https:// goo.gl/w7z6iD | EN22 | 220015 | 17:48 | C";;;;"1067203351153008640";https://twitter.com/dfrtraffic/status/1067203351153008640
SandlSandlin;2018-11-26 17:42;0;0;"&&&& plus unlike a car wreck with possibilities of someone dying.... my accident wasssss just a scrap on the bottom lmao";;;;"1067201966068125697";https://twitter.com/SandlSandlin/status/1067201966068125697
jalncc;2018-11-26 17:42;0;0;"Duck Boat Owner Settles With Missouri Family Over Deadly Accident https://www. claimsjournal.com/news/midwest/2 018/11/26/287987.htm …";;;;"1067201900783812608";https://twitter.com/jalncc/status/1067201900783812608
dfrtraffic;2018-11-26 17:38;0;0;"Motor Vehicle Accident | WALNUT ST / WHISPERING HILLS DR | https:// goo.gl/qPqaYt | EN29 | 290022 | 17:38 | C";;;;"1067200841755504640";https://twitter.com/dfrtraffic/status/1067200841755504640
dfrtraffic;2018-11-26 17:38;0;0;"Motor Vehicle Accident | N WALTON WALKER BLVD NB/W NORTHWEST HWY | https:// goo.gl/agluf6 | EN47 | 430044 | 17:38 | C";;;;"1067200837053640704";https://twitter.com/dfrtraffic/status/1067200837053640704
dfrtraffic;2018-11-26 17:38;0;0;"Motor Vehicle Accident | L B J FWY WB / MIDWAY RD | https:// goo.gl/uL0jZh | EN20 | 200029 | 17:38 | C";;;;"1067200833098379264";https://twitter.com/dfrtraffic/status/1067200833098379264
