username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
redcarpetcrash;2018-11-26 17:45;1;0;"Watch Trailer For ‘What Men Want’ http:// redcarpetcrash.com/watch-trailer- for-what-men-want/ …";;;;"1067202592332075008";https://twitter.com/redcarpetcrash/status/1067202592332075008
jalncc;2018-11-26 17:42;0;0;"Deadly Indiana Bus Stop Crash Highlights Daily Road Safety Issue https://www. claimsjournal.com/news/midwest/2 018/11/26/287973.htm …";;;;"1067201989535256581";https://twitter.com/jalncc/status/1067201989535256581
redcarpetcrash;2018-11-26 17:30;0;0;"Watch 'Z Nation' Preview Friday http:// redcarpetcrash.com/watch-z-nation -preview-friday/ …";;;;"1067198817747881985";https://twitter.com/redcarpetcrash/status/1067198817747881985
redcarpetcrash;2018-11-26 17:15;0;0;"Win A Copy Of ‘Solace Island (Solace Island Series)’ By Meg Tilly http:// redcarpetcrash.com/win-a-copy-of- solace-island-solace-island-series-by-meg-tilly/ …";;;;"1067195042962509824";https://twitter.com/redcarpetcrash/status/1067195042962509824
redcarpetcrash;2018-11-26 17:00;0;0;"Watch Preview For ‘Last Man Standing’ Friday http:// redcarpetcrash.com/watch-preview- for-last-man-standing-friday/ …";;;;"1067191267900108800";https://twitter.com/redcarpetcrash/status/1067191267900108800
redcarpetcrash;2018-11-26 16:45;0;0;"Watch Preview For ‘Van Helsing’ Friday http:// redcarpetcrash.com/watch-preview- for-van-helsing-friday/ …";;;;"1067187494976974850";https://twitter.com/redcarpetcrash/status/1067187494976974850
redcarpetcrash;2018-11-26 16:30;0;0;"Watch Preview For ‘The Cool Kids’ Friday http:// redcarpetcrash.com/watch-previews -for-the-cool-kids-friday/ …";;;;"1067183718480134144";https://twitter.com/redcarpetcrash/status/1067183718480134144
steve_oohh;2018-11-26 16:22;0;0;"pic.twitter.com/keO7L7F0Nc";;;;"1067181938769723392";https://twitter.com/steve_oohh/status/1067181938769723392
redcarpetcrash;2018-11-26 16:15;1;0;"Win A Copy Of The Book ‘Elevation’ By Stephen King http:// redcarpetcrash.com/win-a-copy-of- the-book-elevation-by-stephen-king/ …";;;;"1067179943346475010";https://twitter.com/redcarpetcrash/status/1067179943346475010
jakobzway;2018-11-26 16:13;1;9;"yeah too bad the last season was a slow motion car crash https:// twitter.com/balex__/status /1067178977775796225 …";;;;"1067179482988068865";https://twitter.com/jakobzway/status/1067179482988068865
MichaelTang69;2018-11-26 16:06;0;1;"I recommend 1UP Nutrition Pre Pre. 50 servingns. 250 mg caffeine. No jitters. Clean energy. No crash . Stooopid pumps Island Mango hands down best flavor. “Mikeyyswole” 45% off TODAY ONLY pic.twitter.com/PjhGg20loE";;;;"1067177815076995072";https://twitter.com/MichaelTang69/status/1067177815076995072
johnmccaa;2018-11-26 16:00;2;0;"Air Force family from North Dakota died in Montana crash https://www. stripes.com/news/us/air-fo rce-family-from-north-dakota-died-in-montana-crash-1.558004#.W_xs7iPsw_A.facebook …";;;#;"1067176296269135872";https://twitter.com/johnmccaa/status/1067176296269135872
redcarpetcrash;2018-11-26 16:00;0;0;"Watch Previews Of ‘Black Monday’ Sunday, January 20th On Showtime http:// redcarpetcrash.com/watch-previews -of-black-monday-sunday-january-20th-on-showtime/ …";;;;"1067176171627061248";https://twitter.com/redcarpetcrash/status/1067176171627061248
chuckcurtis;2018-11-26 15:56;0;0;"“Terrorism” is when you crash two passenger jets into the twin towers. Tear gas in protection of our borders is not terrorism.";;;;"1067175302185533443";https://twitter.com/chuckcurtis/status/1067175302185533443
Buttercup2027;2018-11-26 15:51;0;0;"Running on less than 4 hours of sleep. About to crash and take a nap for once.";;;;"1067173923408744448";https://twitter.com/Buttercup2027/status/1067173923408744448
redcarpetcrash;2018-11-26 15:45;1;0;"Dallas: Win Passes To An Advance Screening Of ‘Mortal Engines’ http:// redcarpetcrash.com/dallas-win-pas ses-to-an-advance-screening-of-mortal-engines/ …";;;;"1067172396250030085";https://twitter.com/redcarpetcrash/status/1067172396250030085
PapaDad13;2018-11-26 15:43;0;0;"Splish splash crash https://www. newsweek.com/southwest-empl oyee-video-throwing-box-live-tropical-fish-1232039?utm_medium=Social&utm_source=Twitter&utm_campaign=NewsweekTwitter …";;;;"1067171968288546816";https://twitter.com/PapaDad13/status/1067171968288546816
SHARGAWOLFPLAYS;2018-11-26 15:41;0;0;"I liked a @YouTube video http:// youtu.be/9nxfP0d5EVQ?a Captain America Plane Crash Scene | Captain America The First Avenger (2011) Movie";;@YouTube;;"1067171407812014080";https://twitter.com/SHARGAWOLFPLAYS/status/1067171407812014080
redcarpetcrash;2018-11-26 15:30;1;0;"Dallas: Win A Family Four Pack Of Tickets To Opening Night Of ‘A Christmas Story: A Musical’ At Winspear Opera House http:// redcarpetcrash.com/dallas-win-a-f amily-four-pack-of-tickets-to-opening-night-of-a-christmas-story-a-musical-at-winspear-opera-house/ …";;;;"1067168620642541569";https://twitter.com/redcarpetcrash/status/1067168620642541569
redcarpetcrash;2018-11-26 15:15;0;0;"Win A Copy Of The Book ‘Sea Of Greed: A NUMA Files Novel’ By Clive Cussler And Graham Brown http:// redcarpetcrash.com/win-a-copy-of- the-book-sea-of-greed-a-numa-files-novel-by-clive-cussler-and-graham-brown/ …";;;;"1067164844053409792";https://twitter.com/redcarpetcrash/status/1067164844053409792
dawebmandotcom;2018-11-26 15:13;0;3;"As long as we avoid the crash im happy, i wanna buy more silver";;;;"1067164583566213120";https://twitter.com/dawebmandotcom/status/1067164583566213120
redcarpetcrash;2018-11-26 15:00;0;0;"Watch Trailer For New Fox Show ‘The Passage’ Monday, January 14 http:// redcarpetcrash.com/watch-trailer- for-new-fox-show-the-passage/ …";;;;"1067161069225943041";https://twitter.com/redcarpetcrash/status/1067161069225943041
HolcombJulie;2018-11-26 14:57;1;0;"THE EXPLOSIVE STORY: A second opinion on the Kennedy crash http://www. netowne.com/conspiracy/kon formist/kennedy.htm …";;;;"1067160361021911041";https://twitter.com/HolcombJulie/status/1067160361021911041
redcarpetcrash;2018-11-26 14:45;0;0;"Houston: Win Passes To An Advance Screening Of ‘Mortal Engines’ http:// redcarpetcrash.com/houston-win-pa sses-to-an-advance-screening-of-mortal-engines/ …";;;;"1067157300828233728";https://twitter.com/redcarpetcrash/status/1067157300828233728
WorksoftInc;2018-11-26 14:45;0;0;"At the most wonderful time of the year, no one wants to experience their e-commerce site crash , their mobile apps malfunction or their retail store flooded with angry shoppers. Avoid IT holiday headaches with test automation. Read how in our latest blog: https:// hubs.ly/H0fG1Zr0 pic.twitter.com/wejd84dDpu";;;;"1067157296327856138";https://twitter.com/WorksoftInc/status/1067157296327856138
