username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dfrtraffic;2018-11-22 17:58;0;0;"Motor Vehicle Accident | 4900 S BUCKNER BLVD | https:// goo.gl/OGjg12 | EN32 | 320095 | 17:58 | B";;;;"1065756318646947841";https://twitter.com/dfrtraffic/status/1065756318646947841
TotalTrafficDFW;2018-11-22 17:47;0;0;"Accident has only the right lane open in #Arlington on 30 EB at Eastchase Pky, stopped traffic back to Cooks Ln, delay of 7 mins #DFWTraffic";;;#Arlington #DFWTraffic;"1065753582505467904";https://twitter.com/TotalTrafficDFW/status/1065753582505467904
LayZ_214;2018-11-22 17:47;0;1;"Hope all my fam have a great thanksgiving.. yall careful out there.. me and my boy johny seen a crazy accident so yea ... love everyone of yall even if we dont speak much we all gotta do what we gotta do to make it ..";;;;"1065753570497241089";https://twitter.com/LayZ_214/status/1065753570497241089
TotalTrafficDFW;2018-11-22 17:41;0;0;"Accident , left lane blocked in #Bedford on 183 EB at Bedford Rd, stop and go traffic back to Hurstview, delay of 4 mins #DFWTraffic";;;#Bedford #DFWTraffic;"1065752263103270912";https://twitter.com/TotalTrafficDFW/status/1065752263103270912
dfrtraffic;2018-11-22 17:38;0;0;"Motor Vehicle Accident | FLAMELEAF PL / CLARK RD | https:// goo.gl/jf1WY8 | DU RE272 | 120470 | 17:38 | B";;;;"1065751281501761537";https://twitter.com/dfrtraffic/status/1065751281501761537
katieckclifford;2018-11-22 17:18;0;2;"Often, it's the people you meet by " accident " that end up becoming the most important people in your life.";;;;"1065746428797038593";https://twitter.com/katieckclifford/status/1065746428797038593
KrisComics;2018-11-22 17:04;0;0;"Naaah. I actually cut it while doing dishes. I grabbed a food processor blade by accident .";;;;"1065742916088463360";https://twitter.com/KrisComics/status/1065742916088463360
TotalTrafficDFW;2018-11-22 17:01;0;0;"Accident has only the right lane open in #Arlington on 30 EB at Eastchase Pky, stop and go traffic back to Cooks Ln, delay of 3 mins";;;#Arlington;"1065742041420898304";https://twitter.com/TotalTrafficDFW/status/1065742041420898304
ShawnEricGray;2018-11-22 17:01;0;0;"Maybe if @DentonCoSheriff was patrolling instead of writing a ticket for a Santa display on back of a SUV this might not had happened! God bless the family of this accident & hopefully resources in #DentonCounty are used for better uses going forward! https:// twitter.com/dentoncountyda /status/1065741337046237184 …";;@DentonCoSheriff;#DentonCounty;"1065742011238629376";https://twitter.com/ShawnEricGray/status/1065742011238629376
dfrtraffic;2018-11-22 16:58;0;0;"Motor Vehicle Accident | 2200 Fordham Rd | https:// goo.gl/rqPEzv | EN38 | 250381 | 16:58 | B";;;;"1065741218854797312";https://twitter.com/dfrtraffic/status/1065741218854797312
hernameizdrea;2018-11-22 16:43;0;0;"So many things to be thankful for but today I am thankful for life, my children, my family, and the people that came into my life on accident but stayed on purpose. Happy Thanksgiving everyone! pic.twitter.com/YWCZwu3vWN";;;;"1065737596154888194";https://twitter.com/hernameizdrea/status/1065737596154888194
look_herkicks;2018-11-22 16:38;0;1;"God, thank you for protecting me thru that accident today";;;;"1065736367051804672";https://twitter.com/look_herkicks/status/1065736367051804672
