Tweet,Label
motor vehicle accident sunnyvale st e overton rd en23 380044 1758 c,S
accident left lane blocked grandprairie 360 nb brown blvd stop go traffic back 30 delay 4 mins dfwtraffic,S
central division responding 07 minor accident 2200 blk ross ave beat 132 1718,S
accident far left right lanes blocked dallas 635 lbj fwy wb midway rd stop go traffic back dallas n tollway,S
accident right lane blocked dallas 635 lbj fwy wb midway rd stop go traffic back dallas n tollway delay 3 mins,S
motor vehicle accident forest ln hillcrest rd en22 220015 1748 c,S
plus unlike car wreck possibilities someone dying accident wasssss scrap bottom lmao,N
duck boat owner settles missouri family deadly accident htm,N
motor vehicle accident walnut st whispering hills dr en29 290022 1738 c,S
motor vehicle accident n walton walker blvd nbw northwest hwy en47 430044 1738 c,S
motor vehicle accident l b j fwy wb midway rd en20 200029 1738 c,S
accident exit blocked grandprairie 20 eb fm 1382 stop go traffic back hwy 161 bush tnpke delay 7 mins dfwtraffic,S
motor vehicle accident dixie ln ash creek dr en31 310016 1728 c,S
motor vehicle accident racine dr deerwood dr en40 460293 1728 c,S
accident right lane blocked dallas 20 wb houston school rd stop go traffic back 45 delay 14 mins dfwtraffic,S
accident cleared irving 114 eb bush tnpke stop go traffic back belt line rd delay 5 mins dfwtraffic,S
motor vehicle accident 11500 ferguson rd en39 390898 1718 c,S
woke nap accident right yard another one happen two days ago people really got ta pay attention driving phones eyes road,N
accident cleared dallas 635 lbj fwy eb greenville ave stop go traffic back coit rd hov ln entrance delay 7 mins,S
motor vehicle accident l b j fwy wb r l thornton fwy sb en46 460261 1708 c,S
haha another streaming site found app accident hes small gang friends trying pull heist truck filled gold bars really funny,N
accident hov lane blocked irving 114 eb bush tnpke stop go traffic back belt line rd delay 5 mins dfwtraffic,S
accident cleared grandprairie 360 sb brown blvd stop go traffic back carrier pky delay 1 min dfwtraffic,S
motor vehicle accident n jim miller rd military pkwy en32 320054 1658 c,S
accident left lane blocked dallas 635 lbj fwy eb greenville ave stop go traffic back coit rd hov ln entrance dfwtraffic,S
accident right lane blocked dallas 635 lbj fwy eb greenville ave stop go traffic back coit rd hov ln entrance dfwtraffic,S
injured car accident appropriate team medical providers assigned care essential appropriate quarterback running said team crucial php storyfbid2214171801938941id257973584225449,N
accident cleared grandprairie hwy 161 bush tnpke sb w marshall dr stop go traffic back w jefferson st delay 3 mins,S
motor vehicle accident n stemmons acrd nb walnut hill ln en35 470350 1638 c,S
motor vehicle accident cockrell hill rd sun valley dr en49 400421 1638 c,S
accident grandprairie hwy 161 bush tnpke sb w marshall dr stop go traffic back w jefferson st delay 3 mins dfwtraffic,S
motor vehicle accident 900 w camp wisdom rd en49 460304 1628 c,S
motor vehicle accident w clarendon dr zang blvd en33 330072 1628 c,S
accident cleared dallas 75 sb woodall rogers frwy stop go traffic back nw hwy delay 14 mins dfwtraffic,S
ah oh proud keeping calm sorry accident happened im glad everyone okay tho,N
